Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.405435,372.09,4.41221e-005,-1.91227,-0.808591,-5.94993,4.5678
0.405435,372.09,4.42748e-005,-1.76336,-0.850748,-5.52256,4.3209
0.405435,372.09,4.44275e-005,-1.60748,-0.889508,-5.07763,4.06113
0.405435,372.09,4.45802e-005,-1.44526,-0.924752,-4.61688,3.78952
0.405435,372.09,4.47328e-005,-1.27734,-0.956371,-4.14211,3.50716
0.405435,372.09,4.48855e-005,-1.10437,-0.984273,-3.65516,3.21514
0.405435,372.09,4.50382e-005,-0.927051,-1.00838,-3.15791,2.91459
0.405435,372.09,4.51908e-005,-0.74607,-1.02863,-2.65229,2.60669
0.405435,372.09,4.53435e-005,-0.562144,-1.04496,-2.14021,2.29261
0.405435,372.09,4.54962e-005,-0.376,-1.05736,-1.62365,1.97354
0.405435,372.09,4.56489e-005,-0.188372,-1.06579,-1.10455,1.65068
0.405435,372.09,4.58015e-005,-2.20429e-015,-1.07025,-0.58489,1.32525
0.405435,372.09,4.59542e-005,0.188372,-1.07076,-0.0666217,0.998452
0.405435,372.09,4.61069e-005,0.376,-1.06734,0.44831,0.671502
0.405435,372.09,4.62595e-005,0.562144,-1.06003,0.957982,0.345596
0.405435,372.09,4.64122e-005,0.74607,-1.04888,1.4605,0.0219239
0.405435,372.09,4.65649e-005,0.927051,-1.03396,1.95401,-0.298344
0.405435,372.09,4.67176e-005,1.10437,-1.01536,2.43668,-0.614058
0.405435,372.09,4.68702e-005,1.27734,-0.993173,2.90676,-0.924092
0.405435,372.09,4.70229e-005,1.44526,-0.967504,3.36253,-1.22735
0.405435,372.09,4.71756e-005,1.60748,-0.938479,3.80234,-1.52277
0.405435,372.09,4.73282e-005,1.76336,-0.90623,4.22461,-1.80933
0.405435,372.09,4.74809e-005,1.91227,-0.870903,4.62783,-2.08604
0.405435,372.09,4.76336e-005,2.05364,-0.832654,5.01059,-2.35197
0.405435,372.09,4.77863e-005,2.18691,-0.79165,5.37153,-2.60621
0.405435,372.09,4.79389e-005,2.31154,-0.748067,5.7094,-2.84794
0.405435,372.09,4.80916e-005,2.42705,-0.70209,6.02306,-3.07635
0.405435,372.09,4.82443e-005,2.53298,-0.653911,6.31143,-3.29073
0.405435,372.09,4.83969e-005,2.62892,-0.603731,6.57356,-3.4904
0.405435,372.09,4.85496e-005,2.71448,-0.551757,6.80861,-3.67475
0.405435,372.09,4.87023e-005,2.78933,-0.498201,7.01583,-3.84322
0.405435,372.09,4.8855e-005,2.85317,-0.44328,7.19459,-3.99534
0.405435,372.09,4.90076e-005,2.90575,-0.387216,7.34437,-4.1307
0.405435,372.09,4.91603e-005,2.94686,-0.330233,7.46477,-4.24893
0.405435,372.09,4.9313e-005,2.97634,-0.272558,7.55551,-4.34976
0.405435,372.09,4.94656e-005,2.99408,-0.214417,7.6164,-4.43299
0.405435,372.09,4.96183e-005,3,-0.15604,7.64741,-4.49846
0.405435,372.09,4.9771e-005,2.99408,-0.0976539,7.64858,-4.54611
0.405435,372.09,4.99237e-005,2.97634,-0.0394852,7.6201,-4.57592
0.405435,372.09,5.00763e-005,2.94686,0.0182421,7.56227,-4.58798
0.405435,372.09,5.0229e-005,2.90575,0.0753069,7.47549,-4.58241
0.405435,372.09,5.03817e-005,2.85317,0.131492,7.36027,-4.55942
0.405435,372.09,5.05344e-005,2.78933,0.186586,7.21725,-4.51926
0.405435,372.09,5.0687e-005,2.71448,0.240381,7.04716,-4.46229
0.405435,372.09,5.08397e-005,2.62892,0.292677,6.85083,-4.38889
0.405435,372.09,5.09924e-005,2.53298,0.343282,6.6292,-4.29953
0.405435,372.09,5.1145e-005,2.42705,0.392009,6.3833,-4.19471
0.405435,372.09,5.12977e-005,2.31154,0.438683,6.11424,-4.07501
0.405435,372.09,5.14504e-005,2.18691,0.483135,5.82323,-3.94106
0.405435,372.09,5.16031e-005,2.05364,0.525208,5.51157,-3.79354
0.405435,372.09,5.17557e-005,1.91227,0.564755,5.1806,-3.63317
0.405435,372.09,5.19084e-005,1.76336,0.601638,4.83177,-3.46073
0.405435,372.09,5.20611e-005,1.60748,0.635734,4.46657,-3.27702
0.405435,372.09,5.22137e-005,1.44526,0.666929,4.08655,-3.0829
0.405435,372.09,5.23664e-005,1.27734,0.695123,3.69331,-2.87926
0.405435,372.09,5.25191e-005,1.10437,0.720226,3.28851,-2.66701
0.405435,372.09,5.26718e-005,0.927051,0.742163,2.87383,-2.44709
0.405435,372.09,5.28244e-005,0.74607,0.760873,2.451,-2.22048
0.405435,372.09,5.29771e-005,0.562144,0.776306,2.02175,-1.98815
0.405435,372.09,5.31298e-005,0.376,0.788427,1.58784,-1.75111
0.405435,372.09,5.32824e-005,0.188372,0.797214,1.15105,-1.51037
0.405435,372.09,5.34351e-005,1.32298e-014,0.802658,0.713155,-1.26694
0.405435,372.09,5.35878e-005,-0.188372,0.804764,0.275915,-1.02186
